stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
192,643,"Brimley Rd at Shediac Rd",,43.748931,-79.253566,,,,,,1
193,9173,"Birchmount Rd at Riseborough Circt (South)",,43.824208,-79.318211,,,,,,1
195,95,"Bathurst St at Baycrest Ave",,43.729709,-79.432270,,,,,,1
196,10768,"Dovercourt Rd at Shanly St",,43.664511,-79.430679,,,,,,2
197,11185,"Lawrence Ave East at Morning Dew Rd",,43.772188,-79.169034,,,,,,1
198,8715,"Weston Rd at Denison Rd West",,43.696304,-79.508408,,,,,,1
199,224,"Bathurst St at Woburn Ave",,43.722434,-79.430385,,,,,,1
200,10711,"Atkinson Ave at Rosedale Heights Dr (South)",,43.813693,-79.443633,,,,,,1
201,10470,"Opposite 700 Arrow Rd",,43.745407,-79.529314,,,,,,2
202,6633,"Parliament St at Bloor St East",,43.671579,-79.370810,,,,,,1
203,3668,"Greenwood Ave at Athletic Ave",,43.669339,-79.327249,,,,,,1
204,3740,"Hullmar Dr at Monaco Crt",,43.765260,-79.527908,,,,,,1
206,5167,"Lake Shore Blvd West at Third St",,43.601653,-79.500866,,,,,,1
207,7251,"Sheppard Ave East at Victoria Park Ave",,43.775457,-79.322733,,,,,,1
208,3246,"Yonge St at Wellesley St West - Wellesley Station",,43.665025,-79.384700,,,,,,1
209,7426,"Victoria Park Ave at Sheppard Ave East",,43.775507,-79.323318,,,,,,1
210,8876,"Wilson Ave at Murray Rd",,43.729711,-79.471403,,,,,,1
211,1004,"Dupont St at Dufferin St",,43.668358,-79.439135,,,,,,1
212,13527,"Major Mackenzie Dr East at Ridgecrest Rd",,43.900656,-79.304807,,,,,,1
213,5933,"O'Connor Dr at Sandra Rd",,43.704655,-79.313590,,,,,,1
214,4144,"King St East at Sackville St",,43.654602,-79.360165,,,,,,1
215,695,"Burnhamthorpe Rd at Shaver Ave North West Side",,43.648209,-79.551986,,,,,,2
217,13927,"Pharmacy Ave at Dawes Rd North Side",,43.708398,-79.290183,,,,,,2
218,2205,"The East Mall at Capri Rd North Side",,43.652678,-79.563094,,,,,,1
219,13464,"2666 Danforth Ave",,43.688800,-79.299321,,,,,,1
220,5121,"High Park Ave at Humberside Ave",,43.660548,-79.468349,,,,,,1
221,894,"Danforth Ave at Hillingdon Ave",,43.683774,-79.321292,,,,,,1
222,2865,"Martin Grove Rd at Richgrove Dr North Side",,43.677322,-79.564238,,,,,,1
